model_id,slug,column_name,direction,selected
eos11sm,known-antibiotic-resemblance,abx_score,higher,Yes
eos6ojg,antibioticdb-similarity-matches,scaff_class,higher,Yes
eos6ojg,antibioticdb-similarity-matches,num_sim_0_3_all,higher,Yes
eos6ojg,antibioticdb-similarity-matches,num_sim_0_5_all,higher,Yes
eos6ojg,antibioticdb-similarity-matches,num_sim_0_7_all,higher,Yes
eos6ojg,antibioticdb-similarity-matches,num_sim_0_9_all,higher,Yes
eos6ojg,antibioticdb-similarity-matches,num_sim_1_0_all,higher,Yes
eos6ojg,antibioticdb-similarity-matches,num_sim_0_3_subset,higher,Yes
eos6ojg,antibioticdb-similarity-matches,num_sim_0_5_subset,higher,Yes
eos6ojg,antibioticdb-similarity-matches,num_sim_0_7_subset,higher,Yes
eos6ojg,antibioticdb-similarity-matches,num_sim_0_9_subset,higher,Yes
eos6ojg,antibioticdb-similarity-matches,num_sim_1_0_subset,higher,Yes
eos2xeq,antibiotics-downselection,has_pains,higher,No
eos2xeq,antibiotics-downselection,has_brenk,higher,No
eos2xeq,antibiotics-downselection,is_sim_known_ab,higher,Yes
eos2xeq,antibiotics-downselection,nitrofuran_motif,higher,Yes
eos2xeq,antibiotics-downselection,fluoroquinolone_motif,higher,Yes
eos2xeq,antibiotics-downselection,carbepenem_motif,higher,Yes
eos2xeq,antibiotics-downselection,betalactam_motif,higher,Yes
eos19mt,chebifier-antibiotic,amino_acid_der,higher,Yes
eos19mt,chebifier-antibiotic,aminocoumarins,higher,Yes
eos19mt,chebifier-antibiotic,aminoglycosides_aminocyclitols,higher,Yes
eos19mt,chebifier-antibiotic,aminopyrimidines_trimethoprim_der,higher,Yes
eos19mt,chebifier-antibiotic,ansamycins_rifamycins_macrolides,higher,Yes
eos19mt,chebifier-antibiotic,anthracyclines,higher,Yes
eos19mt,chebifier-antibiotic,antifungal,higher,Yes
eos19mt,chebifier-antibiotic,arsenic_cpds,higher,Yes
eos19mt,chebifier-antibiotic,b_lactamase_inhibitors,higher,Yes
eos19mt,chebifier-antibiotic,b_lactams_all,higher,Yes
eos19mt,chebifier-antibiotic,b_lactams_carbapenems,higher,Yes
eos19mt,chebifier-antibiotic,b_lactams_cephalosporins_cephems,higher,Yes
eos19mt,chebifier-antibiotic,b_lactams_monobactams,higher,Yes
eos19mt,chebifier-antibiotic,b_lactams_penicillins,higher,Yes
eos19mt,chebifier-antibiotic,biguanides,higher,Yes
eos19mt,chebifier-antibiotic,depsipeptides,higher,Yes
eos19mt,chebifier-antibiotic,fluoroquinolones,higher,Yes
eos19mt,chebifier-antibiotic,glycopeptides,higher,Yes
eos19mt,chebifier-antibiotic,hydrazides,higher,Yes
eos19mt,chebifier-antibiotic,lc_fatty_acids,higher,Yes
eos19mt,chebifier-antibiotic,lipopeptides,higher,Yes
eos19mt,chebifier-antibiotic,mc_fatty_acids,higher,Yes
eos19mt,chebifier-antibiotic,nitrofurans,higher,Yes
eos19mt,chebifier-antibiotic,nucleosides,higher,Yes
eos19mt,chebifier-antibiotic,oxazolidinones,higher,Yes
eos19mt,chebifier-antibiotic,penams,higher,Yes
eos19mt,chebifier-antibiotic,peroxides,higher,Yes
eos19mt,chebifier-antibiotic,phenols,higher,Yes
eos19mt,chebifier-antibiotic,phosphonic_acid_der,higher,Yes
eos19mt,chebifier-antibiotic,polyketides_type_I,higher,Yes
eos19mt,chebifier-antibiotic,polyketides_type_II,higher,Yes
eos19mt,chebifier-antibiotic,polypeptides,higher,Yes
eos19mt,chebifier-antibiotic,pyrazines,higher,Yes
eos19mt,chebifier-antibiotic,pyridinium,higher,Yes
eos19mt,chebifier-antibiotic,quat_ammonium_cpds,higher,Yes
eos19mt,chebifier-antibiotic,quinolines,higher,Yes
eos19mt,chebifier-antibiotic,quinolones,higher,Yes
eos19mt,chebifier-antibiotic,sulfonamides,higher,Yes
